cq,relevance_score,relevance_rationale
 Which are the associated events of an item?,4,"The user story explicitly mentions 'Associated Event' as part of the cataloguing information for an item in the 'Example Data' section (specifically for 'David Bowie's Ziggy Stardust Jumpsuit': 'Associated Event: Ziggy Stardust tour (year)'). Therefore, the competency question directly addresses a requirement explicitly expressed in the user story."
Which are the associated works of the Gibson J-160E?,4,"The user story, in its 'Example Data' section for 'The Gibson J-160E Guitar', explicitly lists 'Associated Works' (e.g., '""Please Please Me"" album') as a piece of 'Cataloguing information' to be captured. The competency question 'Which are the associated works of the Gibson J-160E?' directly asks to retrieve this specific, explicitly mentioned data point, thus addressing a requirement explicitly expressed in the user story."
Which are the associated works of an item?,4,"The user story explicitly mentions 'Associated Works' as part of the 'Cataloguing information' in the 'Example Data' for items like 'The Gibson J-160E Guitar' (e.g., '""Please Please Me"" album') and 'Handwritten Lyrics for ""Bohemian Rhapsody""' (e.g., '""Bohemian Rhapsody"" song'). The competency question directly asks for this information, which the system is designed to capture as part of an item's metadata."
Where do I display the Ziggy Stardust Jumpsuit?,4,"The user story explicitly states a requirement for the system to 'track the movement of loaned items between different museums and exhibitions'. To fulfill this tracking requirement, the system must store and manage information about the current or assigned location (e.g., specific museum, gallery, or exhibition) of artifacts like the Ziggy Stardust Jumpsuit. The competency question 'Where do I display the Ziggy Stardust Jumpsuit?' directly asks for this location information, which is essential data for the explicitly mentioned tracking functionality. Additionally, 'display requirements' are explicitly mentioned as information to be captured, which can also inform where an item is suitable to be displayed."
Where do I display an item?,4,"The user story explicitly states that ""display requirements"" are collected for each item (e.g., ""When adding a new item to the collection, various information of the artefact is collected, including: ... display requirements""). The example data also details ""Display Requirements"" for each item, such as ""Display case: Secure, climate-controlled display case."" The competency question ""Where do I display an item?"" directly asks for this information, which the system is designed to capture and manage as part of the artifact's documentation."
What an item has the serial number (Unique identifier)?,4,"The user story, within the 'Example Data' section for 'The Gibson J-160E Guitar', explicitly lists 'Serial Number: (Unique identifier)' as a component of 'Cataloguing information'. The competency question 'What an item has the serial number (Unique identifier)?' directly addresses the need to know this specific piece of information, which is explicitly stated as data to be captured by the system."
What items from Sonia’s collection are currently on loan to the British Music Experience (BME)?,4,"The user story explicitly states that 'Sonia is granted (limited) access to the dashboard. This empowers her to maintain an ongoing overview of her loaned items...'. The competency question, 'What items from Sonia’s collection are currently on loan to the British Music Experience (BME)?', directly addresses a fundamental aspect of this 'overview' functionality. Given that the user story's primary goal is Sonia loaning items to the BME, this specific query is a core part of the explicitly stated overview requirement. Furthermore, the 'Questions' section within the user story asks, 'How will the system track the movement of loaned items between different museums and exhibitions...', which implies that the system is expected to know the location of loaned items, thus directly supporting the capability to answer the competency question."
"What is the complete provenance history of a given item, including previous owners, acquisition dates, and prior loans to other institutions?",4,"The user story explicitly states that 'provenance' is a key piece of information to be collected when adding an item to the knowledge base. The provided 'Example Data' further details what constitutes provenance for an item like 'The Gibson J-160E Guitar', including 'Originally purchased by: (Original owner, if known)', 'Acquired by Sonia: (Date and method of acquisition)', and 'Previous loans: (List of museums and dates)'. These examples directly align with the components of the competency question ('previous owners', 'acquisition dates', 'prior loans to other institutions'), indicating that the CQ addresses requirements explicitly expressed and exemplified in the user story."
"Which items in the museum’s collection are on temporary loan, and what are their respective loan start and end dates?",4,"The user story explicitly states that 'Loan Start Date' and 'Loan End Date' are captured as part of the 'Loan Agreement' for loaned items (as shown in the Example Data: e.g., Gibson J-160E Guitar has specific start/end dates). Sonia, a key persona, needs 'to maintain an ongoing overview of her loaned items, including the status of loan agreements.' Identifying which items are on temporary loan (i.e., have a defined end date, distinguishing them from 'indefinite loan' or 'full donation' also mentioned) and knowing these specific dates is fundamental to understanding the status of these agreements and managing them. The keyword 'temporary exhibition' further supports the need to manage items on temporary loan. Therefore, the competency question directly addresses requirements for data capture (start/end dates) and data access (status of loan agreements) that are explicitly expressed in the user story."
"What is the current status of the loan agreement for a specific item (e.g., active, expired, indefinite, donated)?",4,"The user story explicitly states that Sonia, the donor, will have access to the dashboard to 'maintain an ongoing overview of her loaned items, including the status of loan agreements'. The competency question 'What is the current status of the loan agreement for a specific item (e.g., active, expired, indefinite, donated)?' directly addresses this explicitly stated requirement. The example statuses in the CQ (active, expired, indefinite, donated) are also consistent with the types of loan agreements described in the 'Example Data' section of the user story (e.g., specific end dates implying active/expired, 'indefinite loan', 'full donation')."
"Which institutions have previously borrowed a specific item, and during which periods?",4,"The user story, specifically within the 'Example Data' section for 'The Gibson J-160E Guitar,' explicitly lists 'Previous loans: (List of museums and dates)' as a sub-field under 'Provenance.' The competency question 'Which institutions have previously borrowed a specific item, and during which periods?' directly queries this exact information. The scenario also states that 'provenance' is among the information collected for an artifact."
"What cataloguing information is available for a given item (e.g., type, brand, model, serial number, associated artists, associated works)?",4,"The user story explicitly states in the scenario that ""When adding a new item to the collection, various information of the artefact is collected, including: cataloguing information..."". Furthermore, the ""Example Data"" section provides detailed examples of ""Cataloguing information"" for items like ""The Gibson J-160E Guitar,"" which include ""Type,"" ""Brand,"" ""Model,"" ""Serial Number,"" ""Associated Artists,"" and ""Associated Works."" These are the exact types of information queried by the competency question, making the CQ directly address an explicitly expressed requirement."
"What multimedia content (images, videos, audio recordings) is associated with a specific item, and how can it be accessed?",4,"The user story explicitly states in the 'Scenario' section that Sonia 'meticulously compiles the details of these items, including their ... multimedia content (images, videos, audio recordings, when available)'. It also mentions that Liz 'diligently ensures that all the details provided by Sonia are accurately captured within the system.' Furthermore, one of the 'Questions' at the end of the user story asks, 'How will the system facilitate the creation of condition reports, including the ability to upload photographs...?'. The competency question directly addresses the requirement to know what multimedia content is associated with an item (as provided by Sonia and captured by the system) and how this content can be accessed (which is essential for its use, e.g., in condition reports or general knowledge base enrichment, both explicit goals of the system)."
"What is the historical and cultural significance of a given item, as described by the donor or curator?",4,"The user story explicitly states that Sonia (donor) provides details including the 'history' and 'significance' of the items. Furthermore, one of the questions in the user story is 'How will the system capture and store the complex history and significance of iconic items...?'. The competency question directly asks about this 'historical and cultural significance' as described by the donor or curator, which is a requirement explicitly expressed."
"What metadata fields are mandatory for each type of item (e.g., instrument, costume, manuscript), and which are optional or type-specific?",3,"The user story explicitly states, 'Some of these attributes apply to every item; while others are more specific to their type.' This directly supports the 'type-specific' aspect of the competency question. The need to determine which fields are 'mandatory' or 'optional' for each item type is a strong and logical inference based on the goals of 'efficient knowledge transfer,' 'automatic generation of metadata,' and ensuring Liz 'diligently ensures that all the details provided by Sonia are accurately captured.' While the terms 'mandatory' and 'optional' are not used verbatim, defining these constraints is essential for implementing a robust metadata system as described and can be inferred using common sense and domain knowledge in system design and metadata management."
"What is the current condition of a specific item, including any documented damage or conservation treatments?",4,"The user story explicitly states that 'current condition' is part of the information Sonia provides for her items and that 'condition' is one of the attributes collected when an item is added to the knowledge base. The 'Example Data' section further details this by including 'Condition' with sub-fields like 'General condition', 'Description of any damage', and 'Conservation history', which directly map to the components ('current condition', 'documented damage', 'conservation treatments') of the competency question. The 'Questions' section also reinforces this by asking how the system will facilitate 'condition reports'."
Are there annotated photographs or reports highlighting specific areas of concern or interest on an item?,4,"The user story, in its ""Questions"" section, explicitly asks: ""How will the system facilitate the creation of condition reports, including the ability to upload photographs and annotate specific areas of an item?"". The competency question ""Are there annotated photographs or reports highlighting specific areas of concern or interest on an item?"" directly addresses the existence and retrievability of these specific types of information (annotated photographs and reports detailing concerns), which the system is explicitly required to support based on the user story."
"What is the conservation history of an item, including dates and types of treatments performed?",4,"The user story, within its ""Example Data"" section, explicitly lists ""Conservation history"" as a component of an item's ""Condition"" information. The examples provided (e.g., ""Refretted in (year), cleaned and polished in (year)"" for the Gibson J-160E Guitar; ""Textile conservation treatment in (year)"" for David Bowie's Jumpsuit) directly correspond to the competency question's request for ""dates and types of treatments performed."" The user story further states that the system should be able to ""accommodate this level of detail,"" making the CQ's requirement explicitly expressed."
"What are the display requirements for a specific item (e.g., case type, lighting, environmental controls)?",4,"The user story explicitly states that 'display requirements' are part of the information collected when adding an item to the knowledge base ('When adding a new item to the collection, various information of the artefact is collected, including: ... display requirements...'). The 'Example Data' section further details these requirements for specific items (e.g., 'Display case: Secure, climate-controlled display case,' 'Lighting: Low-level, UV-filtered lighting,' 'Environment: Climate-controlled environment with humidity control'), directly aligning with the CQ. Additionally, one of the questions at the end of the user story is 'Will the system record the display requirements and care instructions for each item...?', which directly addresses the competency question."
What handling and security instructions are associated with an item while on display or in storage?,4,"The user story explicitly states that ""display requirements"" are collected for each item. The provided ""Example Data"" for ""Display Requirements"" includes specific ""Handling"" instructions (e.g., ""White gloves are required for handling"") and ""Security"" instructions (e.g., ""24/7 security monitoring,"" ""High-level security measures""). Furthermore, one of the ""Questions"" at the end of the user story is: ""Will the system record the display requirements and care instructions for each item, ensuring its proper handling and preservation?"", which directly addresses the need to capture handling and security related instructions."
"Which items require special display equipment (e.g., custom mannequins, acid-free matting) or environmental conditions?",4,"The user story explicitly states that 'display requirements' are collected for each item. The 'Example Data' section provides specific examples of such requirements, including 'custom-fit mannequin' and 'acid-free matting,' which are directly mentioned in the competency question. Furthermore, one of the questions at the end of the user story is 'Will the system record the display requirements and care instructions for each item...?', directly aligning with the CQ's focus on identifying items with special display needs."
"What items loaned by Sonia are currently visible to her via the dashboard, and what information can she access or update?",4,"The user story explicitly states: 'Sonia is granted (limited) access to the dashboard. This empowers her to maintain an ongoing overview of her loaned items, including the status of loan agreements...' It also mentions the system 'enabling Sonia to directly contribute to the museum's knowledge base'. The competency question directly addresses these points by asking: 1. 'What items loaned by Sonia are currently visible to her via the dashboard' (aligns with 'ongoing overview of her loaned items'). 2. 'what information can she access' (aligns with 'overview of her loaned items, including the status of loan agreements'). 3. 'or update?' (aligns with defining the scope of 'limited access' and the mechanism for her to 'directly contribute to the museum's knowledge base'). Thus, the CQ seeks to detail requirements explicitly expressed in the user story."
What is the communication history between Sonia and the museum regarding a specific item or loan agreement?,3,"The user story aims for a system that ensures 'efficient knowledge transfer,' 'transparency,' and 'facilitating clear communication' regarding loaned items and 'loan agreements.' While not explicitly stating that a full 'communication history' (like all email threads or call logs) must be stored, the ability to retrieve a history of significant events, changes, and decisions concerning a specific item or loan agreement (e.g., versions of a loan agreement, logs of status changes, system-recorded approvals or notifications) is strongly inferable. Such a history is crucial for maintaining clarity, resolving potential disputes, and understanding the evolution of an agreement, directly supporting the stated goals of transparency and clear communication. Common sense and domain knowledge in managing collaborative processes and agreements suggest that recording this type of history is a key component. The user story also mentions the system should 'track' information, which for agreements would naturally include their history or evolution."
"What changes or updates have been made to the metadata or status of a loaned item, and by whom?",3,"The user story explicitly mentions the need for an 'audit trail' for the movement of items (which implies tracking changes and who made them for location/status) and for the donor (Sonia) to have an 'ongoing overview of ... status of loan agreements' (implying visibility of updates to this status). The competency question 'What changes or updates have been made to the metadata or status of a loaned item, and by whom?' generalizes these aspects. While not every part of this general question (e.g., tracking 'by whom' for *all* metadata changes) is explicitly stated for all types of metadata, the requirement to track changes and their origin is strongly inferable from the stated goals of 'transparency,' 'accurate documentation,' 'knowledge exchange,' the example of 'Conservation history' (which is a log of changes/updates), and the specific tracking examples provided. Therefore, the competency question addresses a requirement that can be inferred from the user story using common sense and domain knowledge."
"In which exhibitions or display cases has a specific item been featured, and during what time periods?",4,"The user story explicitly states requirements that directly address the competency question. Specifically: 1. The 'Example Data' for 'Provenance' includes 'Previous loans: (List of museums and dates),' which directly supports knowing in which institutions (often for exhibitions) an item has been featured and the corresponding time periods. 2. A question within the user story asks, 'How will the system track the movement of loaned items between different museums and exhibitions, providing a clear audit trail?' This explicitly requires the system to record information about exhibitions and their timing. 3. The keyword 'temporary exhibition' is also mentioned. These elements directly cover the CQ's need to identify exhibitions and time periods. The 'display cases' aspect of the CQ, while less direct, is related to 'Display Requirements' (which mention display cases) and would be a natural detail within a comprehensive audit trail or enriched knowledge base about an exhibition, aligning with the user story's goals."
"What is the current physical location of a specific item (e.g., on display, in storage, in transit)?",4,"The user story explicitly includes the question: ""How will the system track the movement of loaned items between different museums and exhibitions, providing a clear audit trail?"". The competency question ""What is the current physical location of a specific item (e.g., on display, in storage, in transit)?"" directly addresses a core aspect of this requirement. To track movement and provide an audit trail, the system must be able to report the item's current location or status, such as being on display, in storage, or in transit, which are the examples provided in the CQ."
"What is the audit trail of an item’s movement between museums, exhibitions, and storage locations?",4,"The user story, within its 'Questions' section, explicitly asks: 'How will the system track the movement of loaned items between different museums and exhibitions, providing a clear audit trail?'. This question directly mirrors the competency question, indicating that the CQ addresses a requirement explicitly expressed in the user story."
"What are the terms of the loan agreement for a specific item (e.g., compensation, insurance, transport arrangements)?",4,"The user story explicitly states that 'loan agreements' are a key piece of information captured by the system. The 'Scenario' mentions Sonia providing 'proposed loan terms' and Liz adding 'loan agreements' to the knowledge base. Furthermore, the 'Example Data' section provides concrete examples of loan agreement terms for multiple items, specifically listing 'Compensation', 'Insurance', and 'Transport' under the 'Loan Agreement' heading. The competency question directly asks for these explicitly mentioned terms of a loan agreement for a specific item."
"Who is responsible for insurance and transport of a loaned item, and what are the coverage details?",4,"The user story explicitly states that 'loan agreements' are part of the information collected for an artifact. The 'Example Data' section further details that 'Loan Agreement' information includes who is responsible for insurance (e.g., 'BME to provide insurance'), insurance coverage details (e.g., 'for the full value of the guitar'), and who is responsible for transport (e.g., 'BME to arrange and cover the cost'). The competency question directly asks for these explicitly mentioned details."
"What compensation or benefits (e.g., tax deduction, annual fee) are associated with a specific loan or donation?",4,"The user story explicitly mentions that 'loan agreements' are part of the information collected for each item. The 'Example Data' section further clarifies this by providing concrete examples of 'Loan Agreement' details, which include a 'Compensation' field. This field lists examples such as '£5,000 per year' (an annual fee) and 'Tax deduction for the appraised value', directly addressing the types of compensation and benefits mentioned in the competency question. Therefore, the CQ addresses a requirement explicitly expressed in the user story."
"How does the addition of a new item from Sonia’s collection enrich the museum’s knowledge base (e.g., new artists, works, or historical periods represented)?",4,"The user story explicitly states a core goal: 'automatic generation of metadata to enrich the museum's knowledge base.' The competency question directly investigates this explicit goal by asking 'How does the addition of a new item from Sonia’s collection enrich the museum’s knowledge base...?' The examples provided in the CQ (e.g., 'new artists, works') align directly with the 'Cataloguing information' (which includes 'Associated Artists' and 'Associated Works') that the user story specifies will be collected for each item. Therefore, the CQ addresses a requirement—understanding the nature and specifics of the knowledge base enrichment—that is explicitly expressed in the user story's goal and supported by its detailed data examples."
What gaps or overlaps exist in the museum’s collection after integrating Sonia’s loaned items?,2,"The user story S1 describes a system focused on facilitating the loan process for Sonia's items, including data capture, metadata generation, and providing Sonia with an overview of her loaned items. This system feeds data into the broader ""museum’s knowledge systems."" The competency question, ""What gaps or overlaps exist in the museum’s collection after integrating Sonia’s loaned items?"", pertains to an analytical capability for the entire museum collection. While this analysis is crucial for understanding the impact of new acquisitions and strategically ""enriching the museum's knowledge base"" (a goal of S1), the user story does not specify that the ""new system"" for loan facilitation will itself perform this collection-wide gap/overlap analysis. Such analysis is typically a broader curatorial or collection management function. Therefore, the CQ is not a directly inferable requirement for the specific system detailed in S1. However, the system described in S1, by successfully integrating Sonia's items and their detailed metadata, acts as a critical enabler for this type of analysis to be performed (likely using the broader knowledge systems), thereby supporting the overall strategic goals related to the collection's enrichment."
"What are the different types of artifacts in the collection (e.g., Instrument, Stage Costume, Manuscript)?",4,"The user story explicitly lists 'Type' as a key piece of cataloguing information for each artifact, providing examples such as 'Acoustic-electric guitar', 'Stage costume', and 'Manuscript'. It also states that some attributes are 'more specific to their type'. The competency question directly asks for these different types of artifacts, which is a requirement explicitly expressed and exemplified in the user story."
"What specific attributes are relevant for an Instrument (e.g., Brand, Model, Serial Number, Type: Acoustic-electric)?",4,"The user story explicitly states that when adding a new item, 'various information of the artefact is collected, including: cataloguing information... Some of these attributes apply to every item; while others are more specific to their type (e.g. the brand and type of a guitar).' The competency question asks for 'specific attributes ... relevant for an Instrument (e.g., Brand, Model, Serial Number, Type: Acoustic-electric)'. The 'Example Data' section for 'The Gibson J-160E Guitar' (an instrument) explicitly lists these attributes: 'Type: Acoustic-electric guitar', 'Brand: Gibson', 'Model: J-160E', 'Serial Number'. Therefore, the CQ addresses a requirement explicitly expressed in the user story."
"What specific attributes are relevant for a Stage Costume (e.g., Designer, Description)?",4,The user story explicitly states that 'Some of these attributes apply to every item; while others are more specific to their type'. The 'Example Data' section then provides a specific example of a 'Stage costume' (David Bowie's Ziggy Stardust Jumpsuit) and explicitly lists 'Designer' and 'Description' as its cataloguing attributes. This directly addresses the competency question by demonstrating the relevance of these specific attributes for a stage costume.
"What specific attributes are relevant for a Manuscript (e.g., Description, Medium: Handwritten)?",4,"The user story explicitly mentions the need to capture type-specific attributes for artifacts ('Some of these attributes apply to every item; while others are more specific to their type'). It then provides 'Handwritten Lyrics for ""Bohemian Rhapsody""' as an example item, explicitly categorizing its 'Type' as 'Manuscript' and listing 'Description' (e.g., 'Handwritten lyrics...') as part of its 'Cataloguing information'. The competency question directly asks to identify these specific attributes for a Manuscript, using 'Description' and 'Medium: Handwritten' as examples, which aligns directly with the explicit information and requirements presented in the user story."
"Which Artist(s) are associated with a specific artifact (e.g., Gibson J-160E -> John Lennon, George Harrison)?",4,"The user story explicitly mentions that 'cataloguing information' is collected for each artifact. The 'Example Data' section, which illustrates the type of information to be captured, provides specific examples under 'Cataloguing information' that include 'Associated Artists' for artifacts like 'The Gibson J-160E Guitar' (John Lennon, George Harrison), 'David Bowie's Ziggy Stardust Jumpsuit' (David Bowie), and 'Handwritten Lyrics for ""Bohemian Rhapsody""' (Queen). The competency question directly queries this explicitly mentioned data point."
"Which Work(s) (e.g., album, song) are associated with a specific artifact (e.g., Gibson J-160E -> ""Please Please Me"" album; Handwritten Lyrics -> ""Bohemian Rhapsody"")?",4,"The user story explicitly details, through its 'Example Data' section, that 'Associated Works' (e.g., albums, songs) are part of the 'Cataloguing information' to be captured for artifacts. The competency question directly asks for this information, and the examples provided in the CQ (Gibson J-160E -> ""Please Please Me"" album; Handwritten Lyrics -> ""Bohemian Rhapsody"") are directly reflected in the user story's example data."
"Which Event(s) (e.g., tour, recording session) are associated with a specific artifact (e.g., Ziggy Stardust Jumpsuit -> Ziggy Stardust tour)?",4,"The user story's ""Example Data"" section explicitly lists ""Associated Event: Ziggy Stardust tour (year)"" as part of the cataloguing information for ""David Bowie's Ziggy Stardust Jumpsuit."" This directly addresses the competency question, which asks to identify events associated with a specific artifact, using the same example. Therefore, the competency question addresses a requirement that is explicitly expressed in the user story."
"What is the unique identifier (e.g., catalog number, serial number if applicable) for a given artifact?",4,"The user story's ""Example Data"" section explicitly lists ""Serial Number: (Unique identifier)"" as part of the ""Cataloguing information"" for ""The Gibson J-160E Guitar."" The scenario also states that ""cataloguing information"" is collected when adding a new item. The competency question directly asks for this unique identifier, which the system is expected to manage as per the user story's details."
"How can we retrieve all artifacts associated with a specific Artist (e.g., David Bowie)?",4,"The user story explicitly states that 'Associated Artist' is a piece of cataloguing information captured for artifacts (e.g., 'David Bowie's Ziggy Stardust Jumpsuit: Associated Artist: David Bowie'). The system's goal is to create a 'knowledge base' and 'provide a clear, organised way to track and communicate this information.' Retrieving all artifacts associated with a specific artist is a direct and fundamental way to access and utilize this explicitly mentioned data within such a system, fulfilling the need to track and communicate information stored in the knowledge base."
"How can we retrieve all artifacts classified as a specific Type (e.g., Stage Costume)?",3,"The user story explicitly states that 'Type' is a key piece of cataloguing information for artifacts (e.g., 'Type: Stage costume,' 'Type: Acoustic-electric guitar') and that these details are added to the museum's 'knowledge base.' While the user story does not contain a sentence explicitly stating 'the system must allow retrieval of artifacts by type,' this capability is a fundamental and directly inferable requirement for any useful knowledge base that categorizes items by type. Common sense and domain knowledge dictate that if items are classified by type, users will need to retrieve them based on this classification for managing, viewing, or analyzing the collection."
Who was the original owner of a specific artifact (if known)?,4,"The user story explicitly mentions 'provenance' as a key piece of information to be collected when adding an item to the knowledge base. The 'Example Data' section further details this by including fields such as 'Originally purchased by: (Original owner, if known)' and 'Originally owned by: David Bowie' under the 'Provenance' heading for artifacts. The competency question 'Who was the original owner of a specific artifact (if known)?' directly addresses this explicitly stated requirement."
"Who is the current owner of a specific artifact (e.g., Sonia)?",4,"The user story explicitly states that Sonia is loaning items ""from her collection,"" establishing her as the owner of these items. The system's goal is to facilitate this loan process for Sonia. Furthermore, ""provenance"" is listed as information to be collected, and the example provenance data includes details like ""Acquired by Sonia,"" which directly addresses and records the current ownership of the artifacts Sonia is loaning. Therefore, the need to identify the current owner (Sonia, in the context of the user story) is an explicitly expressed requirement for the system."
"How and when did the current owner (e.g., Sonia) acquire a specific artifact?",4,"The user story, particularly in the 'Example Data' section, explicitly details that 'Provenance' information should be captured for each artifact. This includes the sub-field 'Acquired by Sonia: (Date and method of acquisition)', which directly addresses the competency question about how and when the current owner acquired the artifact."
Has a specific artifact been loaned out previously? To which institutions and during which dates?,4,"The user story, within the 'Example Data' section for 'The Gibson J-160E Guitar', explicitly lists 'Previous loans: (List of museums and dates)' under 'Provenance'. This directly corresponds to the information requested by the competency question."
What is the complete ownership history (provenance trail) for a given artifact?,4,"The user story explicitly mentions 'provenance' multiple times as a key piece of information to be documented and collected for artifacts (Keywords section; Scenario: 'Sonia meticulously compiles the details of these items, including their history...'; Scenario: 'When adding a new item to the collection, various information of the artefact is collected, including: ... provenance...'). The 'Example Data' section further details the type of provenance information, including 'Originally purchased by,' 'Acquired by Sonia,' and 'Previous loans,' which directly constitute elements of an 'ownership history' or 'provenance trail.' The competency question asks for the retrieval of this explicitly managed information, which is a direct requirement."
"What is the recorded general condition (e.g., Excellent, Fair, Good, Fragile, Delicate) of a specific artifact?",4,"The user story explicitly mentions that 'current condition' is part of the details Sonia compiles for her items (Scenario section). It also states that when Liz adds an item to the knowledge base, 'condition' is one of the pieces of information collected. Furthermore, the 'Example Data' section provides concrete examples of artifacts where 'General condition' is recorded with values like 'Excellent,' 'Fragile,' and 'Delicate,' which directly align with the competency question. The keyword 'condition reporting' is also listed."
"What specific damage (e.g., scratches, fraying, fading, creasing, foxing) is noted for a particular artifact?",4,"The user story explicitly states that 'condition' information is captured for each artifact. The 'Example Data' section, which is part of the user story, further clarifies this by providing a 'Description of any damage' field under 'Condition' for each example artifact. This field includes specific damages such as 'Minor scratches on the body', 'Minor fraying at the cuffs, some fading of the fabric', and 'Some creasing and foxing of the paper'. The competency question directly asks for these types of specific damages (e.g., scratches, fraying, fading, creasing, foxing), which are explicitly mentioned as data points to be collected within the user story."
"What conservation treatments has a specific artifact undergone, and when?",4,"The user story, within its 'Example Data' section, explicitly lists 'Conservation history' as a sub-component of an artifact's 'Condition'. Examples provided, such as 'Refretted in (year), cleaned and polished in (year)' and 'Textile conservation treatment in (year)', directly address the competency question by detailing what conservation treatments an artifact has undergone and when."
How can we find all artifacts currently assessed as being in 'Fragile' or 'Delicate' condition?,4,"The user story explicitly includes 'condition reporting' as a keyword and poses a question: 'How will the system facilitate the creation of condition reports...?'. The competency question, 'How can we find all artifacts currently assessed as being in 'Fragile' or 'Delicate' condition?', directly addresses this by asking for a method to generate a specific type of condition-based list. Furthermore, the conditions 'Fragile' and 'Delicate' are explicitly provided as example values for an artifact's condition in the 'Example Data' section of the user story. Thus, the CQ seeks to fulfill an explicitly stated requirement (condition reporting) using explicitly mentioned data attributes and values."
"What are the specific display case requirements for an artifact (e.g., Secure, Climate-controlled)?",4,"The user story explicitly states in the scenario that when adding a new item, 'display requirements' are collected. Furthermore, the 'Example Data' for 'The Gibson J-160E Guitar' explicitly lists 'Display case: Secure, climate-controlled display case' under 'Display Requirements.' The competency question directly asks about these specific display case requirements, which the system described in the user story is intended to capture."
"What are the lighting requirements for displaying an artifact (e.g., Low-level, UV-filtered, Indirect)?",4,"The user story explicitly states that when adding a new item to the collection, 'display requirements' are collected. The 'Example Data' section provides concrete examples of lighting requirements for artifacts, such as 'Lighting: Low-level, UV-filtered lighting' for the Gibson J-160E Guitar and 'Lighting: Indirect, low-level lighting' for David Bowie's jumpsuit. Furthermore, one of the questions at the end of the user story is: 'Will the system record the display requirements and care instructions for each item...?'. The competency question directly addresses this explicitly stated requirement."
"Are there specific handling instructions (e.g., White gloves required)?",4,"The competency question 'Are there specific handling instructions (e.g., White gloves required)?' directly addresses a requirement explicitly expressed in the user story. The user story's 'Example Data' for 'The Gibson J-160E Guitar' under 'Display Requirements' explicitly states: 'Handling: White gloves are required for handling.' Furthermore, the 'Questions' section of the user story asks: 'Will the system record the display requirements and care instructions for each item, ensuring its proper handling and preservation?', which encompasses specific handling instructions."
"What level of security is required for a specific artifact (e.g., 24/7 monitoring, High-level, Alarms, CCTV)?",4,"The user story explicitly states that 'display requirements' are collected for each artifact. The 'Example Data' section further clarifies this by providing specific security details (e.g., 'Security: 24/7 security monitoring,' 'Security: High-level security measures, including alarms and CCTV') as part of the 'Display Requirements' for several artifacts. The competency question directly asks about this specific piece of information (level of security), which is therefore an explicitly expressed requirement for the system to capture."
"Does an artifact require specific environmental controls (e.g., humidity control)?",4,"The user story explicitly states that 'display requirements' are collected for each artifact. The 'Example Data' section provides concrete examples of these display requirements, which include 'climate-controlled display case,' 'climate-controlled environment with humidity control,' and 'stable temperature and humidity.' The competency question 'Does an artifact require specific environmental controls (e.g., humidity control)?' directly addresses this explicitly stated need to capture and query information about environmental controls as part of an artifact's display requirements."
Does a costume require a custom-fit mannequin?,4,"The user story explicitly states that 'display requirements' are among the information collected for an artifact. The 'Example Data' section provides an example of 'David Bowie's Ziggy Stardust Jumpsuit,' which is a type of costume. For this item, under 'Display Requirements,' it is explicitly listed: 'Mannequin: Custom-fit mannequin to support the garment's structure.' Therefore, the competency question directly addresses a requirement (the system's ability to capture whether a costume needs a custom-fit mannequin) that is explicitly expressed through the examples in the user story."
"Does a manuscript require specific framing (e.g., Acid-free matting, UV-filtering glass)?",4,"The user story explicitly states that 'display requirements' are captured for each item. The 'Example Data' section includes an example of a manuscript ('Handwritten Lyrics for ""Bohemian Rhapsody""') where its 'Display Requirements' explicitly list 'Framing: Acid-free matting and UV-filtering glass.' This directly addresses the competency question by showing that such specific framing details are indeed part of the requirements to be recorded for a manuscript."
"Who is the donor/lender (e.g., Sonia) for a specific loaned artifact?",4,"The user story explicitly states that 'Sonia is granted (limited) access to the dashboard. This empowers her to maintain an ongoing overview of *her loaned items*'. To fulfill this requirement, the system must be able to identify which items belong to Sonia, meaning it must know who the donor/lender is for each specific artifact. The entire user story revolves around Sonia (identified as a 'donor' in Personas and the one 'loaning' items in the Goal and Scenario) providing items, making the identity of the lender a fundamental piece of information directly necessary for the described system functionality."
"Who is the borrower (e.g., BME, V&A, Rock & Roll Hall of Fame) for a specific loan agreement?",4,"The user story explicitly mentions that 'loan agreements' are part of the information collected for an artifact. Furthermore, the 'Example Data' section provides concrete examples of 'Loan Agreement' details for several items, and each example explicitly includes a 'Borrower' field (e.g., 'Borrower: British Music Experience (BME)', 'Borrower: Victoria and Albert Museum (V&A)'). Therefore, the competency question about identifying the borrower for a specific loan agreement addresses a requirement that is explicitly expressed in the user story."
"What is the start date and end date (or status like 'Indefinite', 'Full Donation') of a specific loan agreement?",4,"The user story explicitly details the components of a 'Loan Agreement' through its 'Example Data' section. For instance, 'The Gibson J-160E Guitar' example lists 'Loan Start Date: 2024-12-03' and 'Loan End Date: 2027-12-03'. Similarly, 'David Bowie's Ziggy Stardust Jumpsuit' example shows 'Loan End Date: Indefinite (or specific date, or 'full donation')'. The competency question 'What is the start date and end date (or status like 'Indefinite', 'Full Donation') of a specific loan agreement?' directly asks for these attributes which are explicitly expressed and exemplified as part of the loan agreement information to be managed by the system."
